RUN case=model mame_commit=a5cc550d0a2cf7218cbd94c1a0780f7a713f8d8e
RUN rom_sha256=e262e6aa26ddf6c7c8aa02f636d422709309e0a08945739b84886204d1693e33
[:xdata] XDATA model storage=enabled unknown_read=open-bus-ff xram_approx=0000-03ff
Soft reset
[:maincpu] write of un-hooked port 3 fd
[:maincpu] write of un-hooked port 2 ff
[:xdata] XDATA first op=W addr=033c pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=033d pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=033e pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=033f pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0340 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0341 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0342 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0343 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0344 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0345 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0346 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0347 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0348 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0349 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=034a pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=034b pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=034c pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=034d pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=034e pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=034f pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0350 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0351 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0352 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0353 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0354 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0355 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0356 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0357 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0358 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0359 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=035a pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=035b pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=035c pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=035d pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=035e pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=035f pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0360 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0361 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0362 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0363 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0364 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0365 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0366 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0367 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0368 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0369 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=036a pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=036b pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=036c pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=036d pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=036e pc=8faf value=00 class=retained-xram-approx unknown=0
