Warning: -video none doesn't make much sense without -seconds_to_run
[:xdata] XEV seq=266 op=W addr=0383 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=267 op=W addr=0384 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=268 op=W addr=0385 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=269 op=W addr=0386 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=270 op=W addr=0387 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=271 op=W addr=0388 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=272 op=W addr=0389 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=273 op=W addr=038a pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=274 op=W addr=038b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=275 op=W addr=038c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=276 op=W addr=038d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=277 op=W addr=038e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=278 op=W addr=038f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=279 op=W addr=0390 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=280 op=W addr=0391 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=281 op=W addr=0392 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=282 op=W addr=0393 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=283 op=W addr=0394 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=284 op=W addr=0395 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=285 op=W addr=0396 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=286 op=W addr=0397 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=287 op=W addr=0398 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=288 op=W addr=0399 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=289 op=W addr=039a pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=290 op=W addr=039b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=291 op=W addr=039c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=292 op=W addr=039d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=293 op=W addr=039e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=294 op=W addr=039f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=295 op=W addr=03a0 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=296 op=W addr=03a1 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=297 op=W addr=03a2 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=298 op=W addr=03a3 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=299 op=W addr=03a4 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=300 op=W addr=03a5 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=301 op=W addr=03a6 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=302 op=W addr=03a7 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=303 op=W addr=03a8 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=304 op=W addr=03a9 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=305 op=W addr=03aa pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=306 op=W addr=03ab pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=307 op=W addr=03ac pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=308 op=W addr=03ad pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=309 op=W addr=03ae pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=310 op=W addr=03af pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=311 op=W addr=03b0 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=312 op=W addr=03b1 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=313 op=W addr=03b2 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=314 op=W addr=03b3 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=315 op=W addr=03b4 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=316 op=W addr=03b5 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=317 op=W addr=03b6 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=318 op=W addr=03b7 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=319 op=W addr=03b8 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=320 op=W addr=03b9 pc=8faf value=00 class=storage taint=0
